ID,Topic,Subtopic,Question,Answer,Concept Explanation,Difficulty (1-5),Units Involved,Formula Used,Reasoning
171,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,2,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
172,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,3,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
173,Mechanics,Kinematics,Derive and explain the significance of the formula 'v^2 = u^2 + 2as' in Kinematics.,The formula 'v^2 = u^2 + 2as' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,5,"m, s",v^2 = u^2 + 2as,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
174,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
175,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 2.88 kg of water by 80°C.,Q = mcΔT = 2.88 × 4.18 × 80 = 963.26 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",3,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
176,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,2,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
177,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
178,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,4,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
179,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,2,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
180,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
181,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,4,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
182,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 1.90 kg of water by 18°C.,Q = mcΔT = 1.90 × 4.18 × 18 = 142.92 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",3,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
183,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
184,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,3,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
185,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,5,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
186,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,5,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
187,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'KE = 0.5mv^2' in Work, Power, Energy.","The formula 'KE = 0.5mv^2' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",4,"J, W, kg, m, s",KE = 0.5mv^2,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
188,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'N3L: F_AB = -F_BA' in Laws of Motion.,The formula 'N3L: F_AB = -F_BA' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,5,"N, kg, m/s^2",N3L: F_AB = -F_BA,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
189,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,2,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
190,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'F_net = ma' in Laws of Motion.,The formula 'F_net = ma' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,4,"N, kg, m/s^2",F_net = ma,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
191,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,3,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
192,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,3,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
193,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,2,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
194,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'F_net = ma' in Laws of Motion.,The formula 'F_net = ma' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,2,"N, kg, m/s^2",F_net = ma,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
195,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
196,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,5,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
197,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
198,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,5,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
199,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
200,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,3,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
201,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
202,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'N3L: F_AB = -F_BA' in Laws of Motion.,The formula 'N3L: F_AB = -F_BA' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,3,"N, kg, m/s^2",N3L: F_AB = -F_BA,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
203,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 6.56 kg of water by 62°C.,Q = mcΔT = 6.56 × 4.18 × 62 = 1698.83 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",2,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
204,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,3,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
205,Mechanics,Kinematics,An object starts with initial velocity 0 m/s and accelerates at 9.53 m/s² for 7 seconds. Find its final velocity.,v = u + at = 0 + 9.53×7 = 66.72 m/s,"This kinematic formula connects final velocity with initial velocity, acceleration, and time.",4,"m, s",v = u + at,The formula assumes uniform acceleration. The derivation comes from integrating acceleration over time.
206,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,3,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
207,Mechanics,Kinematics,Derive and explain the significance of the formula 's = ut + 0.5at^2' in Kinematics.,The formula 's = ut + 0.5at^2' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,2,"m, s",s = ut + 0.5at^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
208,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 8.81 kg of water by 66°C.,Q = mcΔT = 8.81 × 4.18 × 66 = 2430.48 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",2,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
209,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,4,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
210,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,5,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
211,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,5,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
212,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
213,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,5,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
214,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,3,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
215,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,5,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
216,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,2,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
217,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,5,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
218,Mechanics,Dynamics,Calculate the force required to accelerate a 37 kg object at 7.59 m/s².,F = ma = 37 × 7.59 = 280.81 N,Newton's Second Law relates force with mass and acceleration.,4,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
219,Mechanics,Kinematics,An object starts with initial velocity 36 m/s and accelerates at 9.80 m/s² for 12 seconds. Find its final velocity.,v = u + at = 36 + 9.80×12 = 153.66 m/s,"This kinematic formula connects final velocity with initial velocity, acceleration, and time.",4,"m, s",v = u + at,The formula assumes uniform acceleration. The derivation comes from integrating acceleration over time.
220,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,5,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
221,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
222,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,2,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
223,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,4,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
224,Mechanics,Kinematics,Derive and explain the significance of the formula 'v^2 = u^2 + 2as' in Kinematics.,The formula 'v^2 = u^2 + 2as' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,2,"m, s",v^2 = u^2 + 2as,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
225,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 3.26 kg of water by 40°C.,Q = mcΔT = 3.26 × 4.18 × 40 = 545.75 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",4,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
226,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,4,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
227,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
228,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,3,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
229,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'F_net = ma' in Laws of Motion.,The formula 'F_net = ma' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,2,"N, kg, m/s^2",F_net = ma,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
230,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,2,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
231,Mechanics,Kinematics,Derive and explain the significance of the formula 's = ut + 0.5at^2' in Kinematics.,The formula 's = ut + 0.5at^2' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,4,"m, s",s = ut + 0.5at^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
232,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,2,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
233,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
234,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
235,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
236,Mechanics,Dynamics,Calculate the force required to accelerate a 15 kg object at 7.50 m/s².,F = ma = 15 × 7.50 = 112.57 N,Newton's Second Law relates force with mass and acceleration.,2,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
237,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,4,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
238,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,4,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
239,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'P = W/t' in Work, Power, Energy.","The formula 'P = W/t' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",3,"J, W, kg, m, s",P = W/t,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
240,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
241,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,2,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
242,Mechanics,Kinematics,An object starts with initial velocity 46 m/s and accelerates at 6.54 m/s² for 20 seconds. Find its final velocity.,v = u + at = 46 + 6.54×20 = 176.70 m/s,"This kinematic formula connects final velocity with initial velocity, acceleration, and time.",3,"m, s",v = u + at,The formula assumes uniform acceleration. The derivation comes from integrating acceleration over time.
243,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,4,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
244,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,2,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
245,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,5,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
246,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,4,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
